ABBOTT, ANTHONY J.	Q56794768
ABBOTT, ARTHUR	
ABBOTT, PETER	
ABBOTT, WILLIAM G.	
ABBOTT-WATT, THORHILDA (THORDA) M.V.	Q27899329
ABERCROMBY, Hon. SIR RALPH	
ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF	Q24631
ACLAND, SIR ANTONY A.	Q4059659
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	
ACTON, RICHARD, 2nd LORD	Q336154
ADAIR, ARTHUR R.	
ADAIR, Rt. Hon. SIR ROBERT	
ADAM, C.F. FREDERICK	
ADAM, FREDERICK E.F.	
ADAMS, ALEC C.S.	
ADAMS, ALEXANDER A.	
ADAMS, C. CHRISTIAN W.	
ADAMS, SIR FRANCIS O.	
ADAMS, SIR GEOFFREY D.	Q1502925
ADAMS, SIR PHILIP G.D.	Q4057354
ADAMS, SIR W. JAMES	
ADAMS, WILLIAM P.	
ADAMSON, JOANNE	Q56794746
ADDINGTON, Rt. Hon. HENRY U.	
ADDIS, SIR JOHN M.	Q1700961
ADDISON, SIR JOSEPH	
ADDISON, Brigadier LEONARD J.L.	
AGAR ELLIS, Hon. GEORGE A.W.	
AGAR-ROBARTES, Hon. FRANCIS G.	
AHMAD, ASIF A.	Q4806893
AIERS, DAVID P.	Q19757777
AINSLIE, SIR ROBERT, BT.	Q9311079
AIREY, KATE	Q56794674
ALBAN, ARTHUR D.	
ALBAN, Major REGINALD G.E.W.	
ALCOCK, SIR RUTHERFORD	Q939063
ALDERTON, CLIVE	
ALDINGTON, SIR GEOFFREY W.	Q56794695
ALESSANDRI, MADELEINE K.	
ALEXANDER, SIR MICHAEL O’D. B.	
ALEXANDER, NICHOLAS	
ALEXANDER, THOMAS J.	
ALISON, CHARLES	
ALLAN, Hon. SIR ALEXANDER C.S.	Q56808160
ALLAN, CHRISTOPHER	Q56808159
ALLAN, JAMES N.	
ALLAN, KEITH R.	
ALLCHIN, SIR GEOFFREY C.	Q56808904
ALLEN, DONALD G.	
ALLEN, JONATHAN G.	
ALLEN, MARK E.	
ALLEN, SIR RICHARD H.S.	Q56808163
ALLEN, SIR ROGER	
ALLEN, SIR W. DENIS	
ALLINSON, SIR W. LEONARD	Q6525066
ALMOND, T. CLIVE	Q56808165
ALSTON, SIR FRANCIS B.	
ALSTON, Rt. Hon. SIR BEILBY F.	Q15971049
ALSTON, ROBERT J.	Q7341475
AMHERST, Rt. Hon. WILLIAM P., 1st LORD	Q142609
AMORY, Rt. Hon. DERICK, 1st VISCOUNT	Q334287
AMOS, Rt. Hon. BARONESS	
AMY, DENNIS O.	
ANDERSON, DAVID H.	
ANDERSON, GEORGE D.	
ANDERSON, SIR H. PERCY	
ANDERSON, JENNIFER E.	Q19870683
ANDREWS, CYRIL F.W.	
ANGLIN, ERIC J.	
ANGST, SIR HENRY	
ANNELLS, VICTOR	
ANNESLEY, GEORGE R.L.	
ANSTEY, SIDNEY H.	
ANTROBUS, GIBBS C.	Q17180507
ANTROBUS, MAURICE E.	
APPLEYARD, SIR LEONARD V.	
ARBUTHNOT, Rt. Hon. CHARLES	
ARBUTHNOTT, HUGH J.	
ARCHER, GRAHAM R.	
ARCHER, NICHOLAS S.	
ARCHER, NORMAN E.	
ARCHIBALD, SIR EDWARD M.	
ARCULUS, SIR RONALD	Q25341909
ARKWRIGHT, PAUL T.	Q15989806
ARMITAGE, HENRY ST.J. B.	
ARMOUR, NICHOLAS H.S.	
ARMSTRONG, SIR HARRY GLOSTER-	
ARNOLD, CATHERINE E.J.	Q42907852
ARON, MICHAEL D.	Q16929538
ARON, RACHEL A.G.	
ARTHINGTON-DAVY, HUMPHREY A.	
ARTHUR, SIR GEOFFREY G.	Q19873491
ARTHUR, JAMES S.	
ARTHUR, SIR MICHAEL A.	
ASHBURNHAM, Hon. CHARLES	
ASHCROFT, ANDREW R.	
ASHE, SIR DERICK R.	Q5262568
ASHFORD, WILLIAM S.	
ASHTON, JOHN	
ASHTON-GWATKIN, FRANK T.A.	Q5560991
ASHWORTH, PATRICK	
ASPIN, NORMAN	Q16933894
ASQUITH, Hon. SIR DOMINIC A.G.	Q1221764
ASTBURY, NICHOLAS P.	
ASTLEY, PHILIP S.	
ASTON, SIR ARTHUR	
ASTON, THOMAS W.	
ATKINSON, GILLIAN	
ATKINSON, JAMES O.	
ATKINSON, MICHAEL W.	
ATTEWELL, BRIAN	
ATTWOOD, STEWART G.	
AUCKLAND, Rt. Hon. WILLIAM, 1st LORD	
AUDLAND, SIR CHRISTOPHER J.	Q24574309
AUST, ANTHONY L	
AUSTEN, RICHARD J.	
AUSTIN, BRIAN P.	
AVELING, ARTHUR F.	
AVERY, DAVID R.	
AVES, JONATHAN J.	
AXWORTHY, SALLY	
AYRE, ANDREW	
BACHE, ANDREW P.F.	Q24576735
BACKHOUSE, JOHN	
BACON, PETER J.	
BAGGALLAY, H. LACY	
BAGGE, SIR J. PICTON, Bt.	
BAGOT, Rt. Hon. Sir CHARLES	
BAILES, ALYSON J.K.	Q450357
BAILEY, Lieutenant-Colonel FREDERICK M.	
BAILEY, RONALD W.	
BAILLIE, ALASTAIR T.	
BAILLIE, EVAN P. M.	Q5852596
BAILLIE, JOHN G.	
BAILLIE HAMILTON, SIR GEORGE	
BAIRD, NICHOLAS G.F.	
BAKER. ANTHONY C.	
BAKER, ANTHONY St.J.	
BAKER, FRANCIS R.	
BAKER, GEOFFREY H.	
BAKER, GEORGE W	
BAKER, GORDON M.	Q56795610
BAKER, NIGEL M.	Q7032223
BAKER, PIERS H.B.	
BAKER, RICHARD H.	
BAKER-BATES, MERRICK S.	
BALDWIN, BRIAN P.	
BALDWIN, Colonel SIR JOHN G.	
BALFOUR, DAVID	
BALFOUR, SIR JOHN	Q6220448
BALFOUR, RAYMOND L.	
BALFOUR-PAUL, H. GLENCAIRN	Q5568226
BALL, ARTHUR B.	
BALL, FRANCIS L.	
BALLANTYNE, ALEXANDER H.	
BALLENTYNE, DONALD F.	
BAMFORD, ALEXANDER	
BANDINEL, JAMES	
BANKHEAD, CHARLES	
BANKS, ALAN G.	
BANKS, SIMON J.	
BARBER, LESLIE C.S.	
BARCLAY, CHRISTOPHER F.R.	
BARCLAY, Rt. Hon. SIR COLVILLE A. de R.	
BARCLAY, SIR GEORGE H.	
BARCLAY, SIR RODERICK E.	Q7356589
BARDER, SIR BRIAN L.	Q4963046
BARFF, STAFFORD E.D.	
BARING, Hon. SIR EVELYN	
BARING, WALTER	Q29982447
BARKER, THOMAS C.	
BARKER, SIR WILLIAM	
BARKLAMB, PETER R.	
BARLTROP, ROGER A.R.	
BARNARD, CHARLES TOWNSHEND	
BARNES, SIR E. JOHN W.	
BARNES, RICHARD C.	
BARNES JONES, DEBORAH E.V.	
BARNETT, ROBERT W.	
BARNETT, ROBIN A.	Q15090723
BARRASS, GORDON S.	
BARRETT, EDMOND F.	
BARRETT, SIR STEPHEN J.	
BARRINGTON, Hon. SIR B., ERIC E.	Q15637768
BARRINGTON, SIR NICOLAS J.	
BARRINGTON, Hon. SIR WILLIAM A.C.	Q8005121
BARRON, SIR HENRY P.T., Bt.	
BARROW, SIR TIMOTHY E.	
BARRY, THOMAS J.	
BARSON, JACQUELINE A.	
BARTLETT, HENRY F.	
BARTON, PHILIP R.	Q16897829
BARTON, SIR SIDNEY	Q11059251
BASS, HARRY G.M.	
BATEMAN, SIR CHARLES H.	
BATEMAN, PETER	Q56808623
BATES, MICHAEL C.	
BATES, RONALD H.T.	
BATES, WILLIAM S.	
BATHURST, BENJAMIN	
BATSON, PHILIP D.	
BATTERBEE, SIR HARRY F.	Q5667190
BATTISCOMBE, CHRISTOPHER C.R.	
BATTLE, ALFRED G.	
BAUGH, J.W. MATTHEW	
BAX-IRON SIDE, SIR HENRY G.O.	
BAXTER, CHARLES W.	
BAXTER, GEORGE H.	
BAYLEY, CHARLES C.	
BAYLEY, GARETH	
BAYNE, SIR NICHOLAS P.	
BEAK, GEORGE B.	
BEALE, SIR LOUIS B.G.S.	
BEAMISH, SIR ADRIAN J.	
BEATTIE, DAVID	
BEAUCLERK, WILLIAM N.	
BEAUMONT, DAVID C.B.	
BEAUMONT, SIR HENRY H.D.	
BEAUMONT, SIR RICHARD A.	
BEAVEN, JOHN L.	
BECKETT, NOEL G.S.	
BECKETT, SIR W. ERIC	
BECKINGHAM, PETER	Q1581292
BEDFORD, RODNEY	
BEELEY, SIR HAROLD	Q5660081
BEETHAM, ROGER C.	
BEITH, SIR JOHN G.S.	Q6221380
BELCHER, RONALD H.	
BELGROVE, DAVID	
BELL, DAVID M.	
BELL, SIR GAWAIN W.	Q5528419
BELL, IAN W.	
BELL, JOHN	
BELL, JOHN E.	
BELL, KAREN	
BENDALL, DAVID V.	
BENJAMIN, JON	Q6270377
BENNETT, ANDREW P.	
BENNETT, BRIAN M.	
BENNETT, SIR COURTENAY W.	
BENNETT, JOHN S.	
BENNETT, JOHN S.	
BENSBERG, MARK	
BENTINCK, SIR CHARLES H.	
BENTINCK, LORD W. GEORGE F. CAVENDISH	Q332933
BENTLEY, SIR WILLIAM	
BERG, GEOFFREY	
BERGNE, A. PAUL A’C.	
BERGNE, JOHN B.	Q6223310
BERGNE, SIR J. HENRY G.	
BERKELEY, SIR ERNEST J.L.	
BERMAN, SIR FRANKLIN, (FRANK) D.	
BERNAL, FREDERIC	
BERNAYS, LEWIS E.	
BERTHOUD, SIR ERIC A.	
BERTHOUD, SIR MARTIN S.	
BERTIE, Rt. Hon. SIR FRANCIS L.	Q5480230
BERTRAM, MARK H.R.	
BEST, SIR RICHARD R.	
BETHAM, Lieutenant-Colonel SIR GEOFFREY L.	
BETHLEHEM, SIR DANIEL	Q1160085
BETTS, KAREN E.	Q56808498
BEVAN, SIR JAMES D.	
BEVAN, LEONARD	
BEVERIDGE, ROYSTON J.	
BEYER, JOHN C.	Q47454515
BIDWELL, JOHN, Snr.	
BIDWELL, JOHN, Jnr.	
BIDWELL, THOMAS	
BILIOTTI, SIR ALFRED	Q1238385
BINGHAM, Hon. RICHARD C.	
BIRCH, ALEXANDER H.	
BIRCH, SIR JOHN A.	
BIRCH, JOHN H.S.	
BIRD, CHARLES P.G.	
BISHOP, SUSAN	
BISHOP, Major-General SIR WILLIAM H.A.	
BLACK, STANLEY M.	
BLACKBURNE, ALISON	Q56808503
BLACKLEY, IAN L.	
BLACKWELL, JOHN K.	Q56808506
BLAIKLEY, ROBERT M.	
BLAIR, OLIVER R.	
BLAKE, ALISON	Q56808509
BLAKE-PAULEY, ANTHONY F.	
BLAKEMAN, NEIL	
BLAKEWAY, JOHN D.	
BLAND, SIR G. NEVILE M.	Q15457043
BLAND, GODFREY D.	
BLATHERWICK, SIR DAVID E.S.	
BLECH (BLECK), EDWARD C.	
BLIGH, Hon. SIR JOHN D.	
BLOOMFIELD, Lieutenant-General the Rt. Hon. BENJAMIN, 1st LORD	Q4888299
BLOOMFIELD, Rt. Hon. JOHN, 2nd LORD	Q6222243
BLOOMFIELD, KEITH G.	
BLUETT, HERBERT A.N.	
BLUNT, DAVID G.	Q56795697
BLUNT, SIR JOHN E.	
BLYTHE, ESTHER	
BOAS, J. LESLIE	Q56808531
BOATENG, Rt. Hon. PAUL Y.	Q332667
BOGGIS, EMMA	
BOLLAND, SIR EDWIN	
BONAR, ALFRED G.G.	Q56808533
BONAR, HENRY A.C.	
BOND, IAN A.M.	
BOND, SIMON	
BOND, WILLIAM L.	
BONE, RICHARD M.	
BONE, SIR ROGER B.	
BONHAM, SIR GEORGE F., Bt.	
BOOKER, SIR WILLIAM L.	
BOON, G. PETER R.	
BOOTH, CHARLES L.	Q19871353
BOOTH, SIR GORDON	
BOOTHBY, SIR BROOKE Bt.	Q7526146
BOOTHBY, E. BASIL	Q15070107
BORDER, HUGH W.	
BOSANQUET, GEORGE	
BOSANQUET, VIVIAN H.C.	
BOTTOMLEY, SIR JAMES R.A.	
BOURDILLON, SIR BERNARD H.	
BOURKE, MARTIN	Q6775035
BOURN, JAMES	Q56795942
BOWDEN, JAMES (JAMIE) N.G.	
BOWERING, JOHN	
BOWIE, NIGEL J.G.	
BOWKER, SIR R. JAMES	Q20736428
BOWLE, HORACE E.	
BOWMAN, VICTORIA (VICKY) J.	
BOXER, PETER J.	
BOYCE, SIR GRAHAM H.	
BOYD, SIR JOHN D.I.	
BOYES, LEONARD W.	
BOYLE, PHILIP D.	Q56795963
BOYLE, RANALD H.M.	
BOYLES, ELIZABETH	
BRADLEY, STEPHEN E.	
BRAHAM, HAROLD	
BRAIN, SIR H. NORMAN	
BRAITHWAITE, JULIAN N.	
BRAITHWAITE, SIR RODERIC Q.	
BRANDT, PAUL F.	
BRANT, COLIN T	
BRANT, RICHARD W.	
BRASH, ROBERT	
BRASNETT, JOHN	
BREEZE, SUSAN J.	
BRENAN, BYRON	
BRENAN, SIR JOHN F.	
BRENAN, TERENCE V.	
BRENCHLEY, T. FRANK	Q5485460
BRENNAN, ANTHONY B.	
BRENTON, SIR ANTHONY R.	
BRENTON, JONATHAN A.	
BRETT, DAVID L.	
BRETT, HENRY J.	
BRETT ROOKS, BEDELIA (BIDDY)	
BREWER, DAME NICOLA M.	
BREWIS, JOHN F.	
BRICKELL, DANIEL F.H.	
BRIDGE, NICHOLAS M.	
BRIDGEMAN, REGINALD F. ORLANDO	
BRIDGES, STEPHEN J.	Q16193491
BRIDGES, THOMAS, 2nd LORD	
BRIGHT, COLIN C.	
BRIGHTY, A. DAVID	Q573069
BRIMELOW, SIR THOMAS	Q7787898
BRIND, A. HENRY	
BRINKLEY, ROBERT E.	
BRINSON, DEREK N.	
BRISTOW, LAURENCE S.C.	
BRISTOW-SMITH, LAURENCE	
BRITTEN, Brigadier GEORGE V.	
BRITTEN RAE G.	
BROAD, DAVID	
BROAD, PHILIP	
BROADLEY, JOHN K.E.	
BROADMEAD, SIR PHILIP M.	
BRODERICK, SIR JOHN J.	Q56808468
BROMLEY, PETER R.O.	
BROMLEY, SIR THOMAS E.	
BRONNERT, DEBORAH J.	
BROOK, JOHN E.	
BROOKE TURNER, ALAN	
BROOKS, AMANDA	
BROOKS, ERIC A.S.	
BROOM, PETER D.	
BROOMFIELD, SIR NIGEL H.R.A.	Q7032272
BROUCHER, DAVID S.	Q1176766
BROUGHTON, CHARLES R.	
BROWN, ALAN J.	
BROWN, CHRISTOPHER	
BROWN, DAVID C.	
BROWN, DENYS D.	
BROWN, DOUGLAS J.	
BROWN, DONALD L.	
BROWN, FRANCIS D.W.	
BROWN, FRANK H.	
BROWN, DAME GILLIAN G.	
BROWN, HAROLD A.N.	
BROWN, HERBERT G.	
BROWN, JOHN	
BROWN, J. MICHAEL	
BROWN, SIR MERVYN	Q21936851
BROWN, ROGER H.	
